product_id,description,legacy_balance,ledger_balance,stock_balance,delta_legacy_vs_ledger,delta_ledger_vs_cache,document_only_balance
609963140961,PASTILHA ESTABILIZANTE DICLORO 200g,-28.0,0.0,0.0,28.0,0.0,0.0
7896603802522,FITA CREPE MASK 48mmX50M,-26.0,2.0,2.0,28.0,0.0,0.0
7896603846267,FITA CREPE MASK 18mmX50M,-13.0,13.0,13.0,26.0,0.0,0.0
7891960874694,ADESIVO PLÁSTICO 75g,-22.0,3.0,3.0,25.0,0.0,0.0
7897801300650,JOELHO 50MM,-19.0,6.0,51.0,25.0,45.0,25.0
7898255671037,CONCENTRAX DESENGRAXRAX 5L,-24.0,0.0,0.0,24.0,0.0,80.0
7897534802032,DESINCRUSTANTE LIMPA REJUNTES 5L,40.0,20.0,20.0,-20.0,0.0,35.0
7898214960172,BOCAL DE PORCELANA,-15.0,5.0,5.0,20.0,0.0,0.0
7896155149328,TEXTURA RAFIATTO RÚSTICO ACRÍLICO  23KG,19.0,0.0,0.0,-19.0,0.0,138.0
7897432700140,CLORO GRANULADO 10KG,143.0,125.0,125.0,-18.0,0.0,720.0
7897613520529,SISAL 250G,-2.0,16.0,16.0,18.0,0.0,12.0
7898161063087,FILTRO RC 203 P RESPIRADOR CG 306,0.0,18.0,18.0,18.0,0.0,0.0
7899710007767,PAINEL SLIM EMBUTIDO 12W 3000K  BRANCA MORNA,71.0,89.0,89.0,18.0,0.0,0.0
1299433002791,FOSCO AREIA 18L,1.0,18.0,18.0,17.0,0.0,0.0
7891260028346,LIQUIBASE COMPLEMENTO PAREDES 18L,3.0,20.0,20.0,17.0,0.0,0.0
7891323003242,BRANCO FOSCO 18L,17.0,0.0,0.0,-17.0,0.0,270.0
7898076995237,TINTA ASFÁLTICA 18L,-1.0,16.0,16.0,17.0,0.0,0.0
7898472259629,SILICONE ACÉTICO TRANSPARENTE 256g,-1.0,13.0,13.0,14.0,0.0,10.0
7898664884592,"TAMPO SEGO NORMAL 1""",0.0,14.0,14.0,14.0,0.0,0.0
7898664887661,"TAMPA MODULAR NORMAL 1"" CINZA",0.0,13.0,13.0,13.0,0.0,0.0
7899710016325,LUMINÁRIA LINEAR KSX FIT BRANCA FRIA 6500K,-4.0,9.0,9.0,13.0,0.0,0.0
7897744502432,LIMPADOR PERFUMADO BAMBU 120ML,-8.96,3.3599999999999985,3.3599999999999985,12.32,0.0,6.0
5902120188772,ESPUMA ESPANSIVA POLIURETANO 500ml/230g,-10.0,2.0,2.0,12.0,0.0,0.0
7898470069121,LIMPADOR DESINCRUSTANTE 5L,12.0,0.0,0.0,-12.0,0.0,35.0
7898006037976,"ZARCÃO CINZA 3,6L",-1.0,10.8,10.8,11.8,0.0,14.4
7899452022615,LAMPADA LED SUPER STAR PAR16 4.8W 6500K LUZ FRIA,0.0,10.0,10.0,10.0,0.0,0.0
267415801268,"STRIPITZI REMOVEDOR 3,6L",-2.0,7.200000000000001,7.200000000000001,9.200000000000001,0.0,14.4
0284,CAÇABMBA P/ TINTA 10L,1.0,10.0,10.0,9.0,0.0,0.0
4058075783843,LAMPADA LUZ QUENTE/CÁLIDA 9W 60W,-9.0,0.0,0.0,9.0,0.0,0.0
7898191704950,DETERGENTE DESINCRUSTANTE CJ-24  5L,-4.0,5.0,5.0,9.0,0.0,25.0
7891260279489,TINTA ESMALTE AMARELO OURO BRILHANTE,-1.0,7.200000000000001,7.200000000000001,8.200000000000001,0.0,10.8
4001869322322,PLACA 3 MÓDULOS  C/SUPORTE 4X2,2.0,10.0,10.0,8.0,0.0,0.0
7891435933574,MODULO TOMADA 2P 20A,-3.0,5.0,5.0,8.0,0.0,0.0
7896231701129,COLA JUNTAS,-2.0,6.0,6.0,8.0,0.0,0.0
7898255670818,MAX DETERGENTE 5L,68.0,60.0,60.0,-8.0,0.0,20.0
7898255671327,MAX DESINFETANTE 5L,16.0,8.0,8.0,-8.0,0.0,15.0
7898259251891,FIO FLEXSÍVEL VERMELHO 2.5MM,-8.0,0.0,0.0,8.0,0.0,1200.0
4001869322308,PLACA 2 MÓDULOS C/SUPORTE 4X2,2.0,9.0,9.0,7.0,0.0,0.0
4099854213373,PAINEL EMBUTIDO SLIM 18W 6500K LUZ FRIA,0.0,7.0,7.0,7.0,0.0,0.0
0216A008,BORRACHA DE SILICONE ROSA 1Kg,-6.0,0.0,0.0,6.0,0.0,0.0
4099854169946,LUMINÁRIA FLOODLIGHT 10W 3000K LUZ QUENTE,-1.0,5.0,5.0,6.0,0.0,0.0
7891960798624,CAIXA SIF N51 BR P GR QD 150X185X75,0.0,6.0,6.0,6.0,0.0,0.0
7898133950049,CONVERTEDOR DE FERRUGEM,0.0,6.0,6.0,6.0,0.0,0.0
7898191708897,SPARFRESH ECO 5L,-1.0,5.0,5.0,6.0,0.0,10.0
7898542003909,INTERRUPTOR SIMPLES 10A,-1.0,5.0,5.0,6.0,0.0,0.0
7891260325605,"TINTA ACRÍLICA ACETINA BRANCO 3,6L",12.4,7.199999999999999,7.200000000000001,-5.200000000000001,1.7763568394002505e-15,0.0
7898289938472,"TINTA ESMALTE EPÓXIS  - PALHA 3,2L",-2.0,3.200000000000001,3.200000000000001,5.200000000000001,0.0,9.600000000000001
7896155142008,TINTA ESMALTE CINZA BRILHANTE 3.6L,2.9,8.1,8.1,5.199999999999999,0.0,0.0
4058075374706,LÂMPADA LED SUPERSTAR PAR20 2.7K 50W LUZ CÁLIDA,0.0,5.0,5.0,5.0,0.0,0.0
7891035919787,FRESHMATIC SPRAY AUTOMÁTICO,5.0,10.0,10.0,5.0,0.0,0.0
7892019081308,KIT CHAVES DE CANHÃO 40 PEÇAS,-5.0,0.0,0.0,5.0,0.0,0.0
7899269530419,SPOT LED SLIM QUADRADO 3W 3000K,-1.0,4.0,4.0,5.0,0.0,0.0
7899389008041,DESEMPENADEIRA MADEIRA 17X30mm,-1.0,4.0,4.0,5.0,0.0,0.0
7909712087497,INVERSOR DE FREQUENCIA CFW500,-4.0,1.0,1.0,5.0,0.0,0.0
7891040044221,FITA ANTIDESLIZANTE 50X5M,54.0,50.0,50.0,-4.0,0.0,0.0
7896155100053,TINTA ESMALTE MARROMTABACO BRILHANTE,13.8,17.8,17.8,4.0,0.0,0.0
7897613520727,SUPORTE DE ROLO 23CM PRETO,-1.0,3.0,3.0,4.0,0.0,5.0
7898255671044,CONCENTRAX LIMPA PEDRAS 5L,9.0,5.0,5.0,-4.0,0.0,50.0
7898255677381,ALL CLEAN GEL ANTISSÉPTICO 5L,79.0,75.0,75.0,-4.0,0.0,0.0
7898950350206,TEMPORIZADOR CLC 24 VCA-VCC / 94-424 VCA,-3.0,1.0,1.0,4.0,0.0,0.0
7891574442074,ENDURECEDOR 3093,0.0,3.0,3.0,3.0,0.0,0.0
